medicine_name
"TARAXACUM OFFICINALE"
"SULPHUR IODATUM"
"SYPHILINUM"
"SYZYGIUM JAMBOLANUM"
"SYMPHYTUM OFFICINALE"
"SYMPHORICARPUS RACEMOSUS"
"SULPHURICUM ACIDUM"
"SUMBULUS MOSCHATUS"
"SULPHUROSUM ACIDUM"
"SUCCINUM"
"STRYCHNOS GAULTHERIANA"
"SULFONALUM"
"STRYCHNINUM PURUM"
"SULPHUR"
"STROPHANTHUS HISPIDUS"
"STRYCHNINUM PHOSPHORICUM"
"STRONTIUM CARBONICUM"
"STIGMATA MAYDIS"
"STRAMONIUM"
"STICTA PULMONARIA"
"STELLARIA MEDIA"
"STILLINGIA SILVATICA"
"STAPHYSAGRIA"
"STACHYS BETONICA"
"STANNUM METALLICUM"
"SPONGIA TOSTA"
"SQUILLA MARITIMA"
"SPIGELIA ANTHELMIA"
"SPIRANTHES AUTUMNALIS"
"SPIRAEA ULMARIA"
"SOLIDAGO VIRGAUREA"
"SKOOKUM CHUCK AQUA"
"SOLANUM NIGRUM"
"SINAPIS NIGRA"
"SKATOLUM"
"SILICEA TERRA"
"SILPHIUM LACINATUM"
"SERUM ANGUILLAE"
"SEPIA OFFICINALIS"
"SENNA"
"SENEGA"
"SENECIO AUREUS"
"SEMPERVIVUM TECTORUM"
"SELENIUM METALLICUM"
"SEDUM ACRE"
"SCUTELLARIA LATERIFOLIA"
"SECALE CORNUTUM"
"SCROPHULARIA NODOSA"
"SARSAPARILLA OFFICINALIS"
"SAROTHAMNUS SCOPARIUS"
"SARRACENIA PURPUREA"
"SARCOLACTICUM ACIDUM"
"SAPONARIA OFFICINALIS"
"SANICULA AQUA"
"SANTONINUM"
"SANGUINARINUM NITRICUM"
"SANGUINARIA CANADENSIS"
"SAMBUCUS NIGRA"
"SALVIA OFFICINALIS"
"SABINA"
"SALICYLICUM ACIDUM"
"SALIX NIGRA"
"RUTA GRAVEOLENS"
"SABAL SERRULATA"
"SABADILLA"
"RHUS VENENATA"
"ROSA DAMASCENA"
"RICINUS COMMUNIS"
"RUMEX CRISPUS"
"ROBINIA PSEUDACACIA"
"RHUS AROMATICA"
"RHUS GLABRA"
"RHUS TOXICODENDRON"
"RATANHIA PERUVIANA"
"RHODIUM METALLICUM"
"RHODODENDRON FERRUGINEUM"
"RHAMNUS CALIFORNICA"
"RHEUM PALMATUM"
"RANUNCULUS SCELERATUS"
"RANUNCULUS BULBOSUS"
"RAPHANUS SATIVUS"
"QUEBRACHO"
"QUASSIA AMARA"
"QUILLAYA SAPONARIA"
"QUERCUS E GLANDIBUS"
"PULSATILLA PRATENSIS"
"PULEX IRRITANS"
"RADIUM BROMATUM"
"PYROGENIUM"
"POPULUS TREMULOIDES"
"PRUNUS SPINOSA"
"PTELEA TRIFOLIATA"
"PSORINUM"
"PROPYLAMINUM"
"PRIMULA VERIS"
"PRIMULA OBCONICA"
"POPULUS CANDICANS"
"PODOPHYLLINUM"
"POLYGONUM HYDROPIPEROIDES"
"PLATINUM METALLICUM"
"PLUMBUM METALLICUM"
"POLYPORUS PINICOLA"
"PIX LIQUIDA"
"PLANTAGO MAJOR"
"PLATANUS OCCIDENTALIS"
"PIPER NIGRUM"
"PIPER METHYSTICUM"
"PITUITARIA GLANDULA"
"PINUS SILVESTRIS"
"PICRICUM ACIDUM"
"PHYTOLACCA DECANDRA"
"PHYSOSTIGMA VENENOSUM"
"PHYSALIS ALKEKENGI"
"PHELLANDRIUM AQUATICUM"
"PHOSPHORUS"
"PHASEOLUS NANUS"
"PHOSPHORICUM ACIDUM"
"PETROLEUM"
"PETROSELINUM SATIVUM"
"PERTUSSINUM"
"PENTHORUM SEDOIDES"
"PARTHENIUM HYSTEROPHORUS"
"PALLADIUM METALLICUM"
"PASSIFLORA INCARNATA"
"PAREIRA BRAVA"
"PARIS QUADRIFOLIA"
"OXYTROPIS LAMBERTI"
"PAEONIA OFFICINALIS"
"PARAFFINUM"
